name,team,pos,rank
Johnny Davis,MEM,"SG,SF",689
Jose Alvarado,NY,PG,690
Dennis Smith Jr.,FA,PG,691
Duncan Robinson,DET,"SG,SF",692
Keita Bates-Diop,NY,"SF,PF",693
Eric Gordon,MEM,"SG,SF",694
Spencer Dinwiddie,CHA,"PG,SG",695
Harrison Barnes,SA,PF,696
JT Thor,WAS,PF,697
Jericho Sims,MIL,"PF,C",698
Yuta Watanabe,FA,"SF,PF",699
Andre Jackson Jr.,TOR,"SG,SF",700
Jock Landale,ATL,C,701
Colby Jones,DET,"SG,SF",702
Wesley Matthews,FA,SG,703
Christian Wood,LAL,"PF,C",704
Kyle Lowry,PHI,PG,705
Drew Eubanks,SAC,C,706
Mo Bamba,UTA,C,707
Admiral Schofield,FA,"SF,PF",708
Jevon Carter,ORL,"PG,SG",709
Jaylin Williams,OKC,"PF,C",710
Kenneth Lofton Jr.,CHI,"PF,C",711
Pat Connaughton,CHA,"SG,SF",712
Mason Plumlee,SA,C,713
Dante Exum,WAS,"PG,SG",714
Kris Dunn,LAC,"PG,SG",715
Bojan Bogdanovic,BKN,"SF,PF",716
Killian Hayes,SAC,"PG,SG",717
Patrick Baldwin Jr.,SAC,PF,718
Isaiah Mobley,FA,"SF,PF",719
Ishmail Wainright,FA,"SF,PF",720
Kenyon Martin Jr.,UTA,"SF,PF",721
TyTy Washington Jr.,LAC,"PG,SG",722
AJ Green,MIL,"PG,SG,SF",723
Jalen Hood-Schifino,PHI,"SG,SF",724
Delon Wright,NY,"PG,SG",725
